name,score
forbes,0.00023529465340124445
macrumors,4.9645130064757335e-05
channel969,3.804203485622685e-05
aaplinsights,3.8042034856226845e-05
awzedesign,2.64389396476964e-05
cellularkenya,2.643893964769639e-05
wondergiows,2.6438939647696383e-05
pocket,2.643893964769638e-05
sparkpost,1.4835844439165912e-05
thesun,1.483584443916591e-05
philipcdavis,1.483584443916591e-05
kiazazh_le,1.483584443916591e-05
huyenmy89771598,1.483584443916591e-05
delux_gsm,1.483584443916591e-05
instagram,1.4835844439165909e-05
bjkbaum,1.4835844439165909e-05
utddistrict,1.4835844439165907e-05
sonakshii__,1.4835844439165907e-05
robdawsonespn,1.4835844439165907e-05
manunitedzone_,1.4835844439165907e-05
burhangee,1.4835844439165907e-05
anolinlol,1.4835844439165907e-05
cryptiiiic,1.4835844439165905e-05
verge,1.4835844439165904e-05
prevaan3,1.4835844439165904e-05
dreamssocks_,1.4835844439165904e-05
stevemoser,1.48358444391659e-05
olyerickson,1.48358444391659e-05
jazzsethi95,1.48358444391659e-05
imjimr87,1.48358444391659e-05
applesupport,1.48358444391659e-05
yahyapatel,3.2327492306354497e-06
tweetn2you,3.2327492306354497e-06
thesareen,3.2327492306354497e-06
thcvd39,3.2327492306354497e-06
stewartbmcgehee,3.2327492306354497e-06
soulboy91diallo,3.2327492306354497e-06
sebi506,3.2327492306354497e-06
robotconsumer,3.2327492306354497e-06
realjordanward,3.2327492306354497e-06
raschappert,3.2327492306354497e-06
precisionmedbot,3.2327492306354497e-06
prasannamsv,3.2327492306354497e-06
prasadkpatanka1,3.2327492306354497e-06
nayem00c,3.2327492306354497e-06
msacky_oscar,3.2327492306354497e-06
lavender_app,3.2327492306354497e-06
kuwade1,3.2327492306354497e-06
kushalwagh,3.2327492306354497e-06
kopanomohomele,3.2327492306354497e-06
karlnapbfs,3.2327492306354497e-06
kakaxa_koszushl,3.2327492306354497e-06
juanmatias777,3.2327492306354497e-06
joshxx_official,3.2327492306354497e-06
johnny_jame,3.2327492306354497e-06
johncecilprice,3.2327492306354497e-06
jbnewsbot,3.2327492306354497e-06
jaszyjaszx3,3.2327492306354497e-06
jackosano557,3.2327492306354497e-06
ivanmora8,3.2327492306354497e-06
its_jay71,3.2327492306354497e-06
ios_grizlywolf,3.2327492306354497e-06
influencing11,3.2327492306354497e-06
imrajrishi_,3.2327492306354497e-06
hipopotaminc,3.2327492306354497e-06
heyteeenuh,3.2327492306354497e-06
hal9000machine,3.2327492306354497e-06
greentechdon,3.2327492306354497e-06
gosquad22,3.2327492306354497e-06
giorendang,3.2327492306354497e-06
ee7xx,3.2327492306354497e-06
comeontre,3.2327492306354497e-06
coder_487,3.2327492306354497e-06
choibeomgyun,3.2327492306354497e-06
balloon1aaa,3.2327492306354497e-06
bahangd,3.2327492306354497e-06
appleretweetbot,3.2327492306354497e-06
aothmanl,3.2327492306354497e-06
alyciaanneiam,3.2327492306354497e-06
agquarx,3.2327492306354497e-06
abiruzzamanalvi,3.2327492306354497e-06
aakashkhanx,3.2327492306354497e-06
7_purple_heart,3.2327492306354497e-06
